SummaryOpenDTS,PV_NSC_Amb_Amb,PV_NSC_TC_Amb,PV_NSC_TC_ATC,PV_NSC_Amb_ATC
2020-12-01 23:00:00+00:00,0.28,0.28,0.28,0.28
2020-12-01 23:10:00+00:00,0.19,0.19,0.19,0.19
2020-12-01 23:20:00+00:00,0.21,0.21,0.21,0.21
2020-12-01 23:30:00+00:00,0.32,0.32,0.32,0.32
2020-12-01 23:40:00+00:00,0.43,0.43,0.43,0.43
2020-12-01 23:50:00+00:00,0.07,0.07,0.07,0.07
2020-12-02 00:00:00+00:00,0.59,0.59,0.59,0.59
2020-12-02 00:10:00+00:00,0.09,0.09,0.09,0.09
2020-12-02 00:20:00+00:00,0.3,0.3,0.3,0.3
2020-12-02 00:30:00+00:00,0.25,0.25,0.25,0.25
2020-12-02 00:40:00+00:00,0.52,0.52,0.52,0.52
2020-12-02 00:50:00+00:00,0.25,0.25,0.25,0.25
2020-12-02 01:00:00+00:00,0.5,0.5,0.5,0.5
2020-12-02 01:10:00+00:00,0.19,0.19,0.19,0.19
2020-12-02 01:20:00+00:00,0.41,0.41,0.41,0.41
2020-12-02 01:30:00+00:00,0.61,0.61,0.61,0.61
2020-12-02 01:40:00+00:00,0.57,0.57,0.57,0.57
2020-12-02 01:50:00+00:00,0.43,0.43,0.43,0.43
2020-12-02 02:00:00+00:00,0.46,0.46,0.46,0.46
2020-12-02 02:10:00+00:00,0.43,0.43,0.43,0.43
2020-12-02 02:20:00+00:00,0.49,0.49,0.49,0.49
2020-12-02 02:30:00+00:00,0.42,0.42,0.42,0.42
2020-12-02 02:40:00+00:00,0.5,0.5,0.5,0.5
2020-12-02 02:50:00+00:00,0.57,0.57,0.57,0.57
2020-12-02 03:00:00+00:00,0.58,0.58,0.58,0.58
2020-12-02 03:10:00+00:00,0.27,0.27,0.27,0.27
2020-12-02 03:20:00+00:00,0.46,0.46,0.46,0.46
2020-12-02 03:30:00+00:00,0.52,0.52,0.52,0.52
2020-12-02 03:40:00+00:00,0.54,0.54,0.54,0.54
2020-12-02 03:50:00+00:00,0.62,0.62,0.62,0.62
2020-12-02 04:00:00+00:00,0.64,0.64,0.64,0.64
2020-12-02 04:10:00+00:00,0.47,0.47,0.47,0.47
2020-12-02 04:20:00+00:00,0.4,0.4,0.4,0.4
2020-12-02 04:30:00+00:00,0.51,0.51,0.51,0.51
2020-12-02 04:40:00+00:00,0.64,0.64,0.64,0.64
2020-12-02 04:50:00+00:00,0.6,0.6,0.6,0.6
2020-12-02 05:00:00+00:00,0.64,0.64,0.64,0.64
2020-12-02 05:10:00+00:00,0.57,0.57,0.57,0.57
2020-12-02 05:20:00+00:00,101.9233,101.9233,101.9233,101.9233
2020-12-02 05:30:00+00:00,2.71,2.71,2.71,2.71
2020-12-02 05:40:00+00:00,1.95,1.95,1.95,1.95
2020-12-02 05:50:00+00:00,2.44,2.44,2.44,2.44
2020-12-02 06:00:00+00:00,2.33,2.33,2.33,2.33
2020-12-02 06:10:00+00:00,2.91,2.91,2.91,2.91
2020-12-02 06:20:00+00:00,4.08,4.08,4.08,4.08
2020-12-02 06:30:00+00:00,21.37,21.37,21.37,21.37
2020-12-02 06:40:00+00:00,4.7,4.7,4.7,4.7
2020-12-02 06:50:00+00:00,4.75,4.75,4.75,4.75
2020-12-02 07:00:00+00:00,4.76,4.76,4.76,4.76
2020-12-02 07:10:00+00:00,5.22,5.22,5.22,5.22
2020-12-02 07:20:00+00:00,5.32,5.32,5.32,5.32
2020-12-02 07:30:00+00:00,43.19,43.19,43.19,43.19
2020-12-02 07:40:00+00:00,5.37,5.37,5.37,5.37
2020-12-02 07:50:00+00:00,5.37,5.37,5.37,5.37
2020-12-02 08:00:00+00:00,5.25,5.25,5.25,5.25
2020-12-02 08:10:00+00:00,5.34,5.34,5.34,5.34
2020-12-02 08:20:00+00:00,5.52,5.52,5.52,5.52
2020-12-02 08:30:00+00:00,5.82,5.82,5.82,5.82
2020-12-02 08:40:00+00:00,5.37,5.37,5.37,5.37
2020-12-02 08:50:00+00:00,5.83,5.83,5.83,5.83
2020-12-02 09:00:00+00:00,5.14,5.14,5.14,5.14
2020-12-02 09:10:00+00:00,5.1,5.1,5.1,5.1
2020-12-02 09:20:00+00:00,4.99,4.99,4.99,4.99
2020-12-02 09:30:00+00:00,5.76,5.76,5.76,5.76
2020-12-02 09:40:00+00:00,5.67,5.67,5.67,5.67
2020-12-02 09:50:00+00:00,5.31,5.31,5.31,5.31
2020-12-02 10:00:00+00:00,8.3,8.3,8.3,8.3
2020-12-02 10:10:00+00:00,8.09,8.09,8.09,8.09
2020-12-02 10:20:00+00:00,16.5751,16.5751,16.5751,16.5751
2020-12-02 10:30:00+00:00,35.6177,35.6177,35.6177,35.6177
2020-12-02 10:40:00+00:00,10.09,10.09,10.09,10.09
2020-12-02 10:50:00+00:00,11.24,11.24,11.24,11.24
2020-12-02 11:00:00+00:00,10.74,10.74,10.74,10.74
2020-12-02 11:10:00+00:00,10.26,10.26,10.26,10.26
2020-12-02 11:20:00+00:00,10.16,10.16,10.16,10.16
2020-12-02 11:30:00+00:00,10.29,10.29,10.29,10.29
2020-12-02 11:40:00+00:00,10.3,10.3,10.3,10.3
2020-12-02 11:50:00+00:00,10.31,10.31,10.31,10.31
2020-12-02 12:00:00+00:00,10.32,10.32,10.32,10.32
2020-12-02 12:10:00+00:00,10.63,10.63,10.63,10.63
2020-12-02 12:20:00+00:00,10.45,10.45,10.45,10.45
2020-12-02 12:30:00+00:00,11.14,11.14,11.14,11.14
2020-12-02 12:40:00+00:00,11.2,11.2,11.2,11.2
2020-12-02 12:50:00+00:00,11.2,11.2,11.2,11.2
2020-12-02 13:00:00+00:00,10.75,10.75,10.75,10.75
2020-12-02 13:10:00+00:00,17.3486,17.3486,17.3486,17.3486
2020-12-02 13:20:00+00:00,43.9146,43.9146,43.9146,43.9146
2020-12-02 13:30:00+00:00,86.0784,86.0784,86.0784,86.0784
2020-12-02 13:40:00+00:00,15.63,15.63,15.63,15.63
2020-12-02 13:50:00+00:00,15.34,15.34,15.34,15.34
2020-12-02 14:00:00+00:00,35.82,35.82,35.82,35.82
2020-12-02 14:10:00+00:00,16.36,16.36,16.36,16.36
2020-12-02 14:20:00+00:00,16.32,16.32,16.32,16.32
2020-12-02 14:30:00+00:00,16.27,16.27,16.27,16.27
2020-12-02 14:40:00+00:00,25.98,25.98,25.98,25.98
2020-12-02 14:50:00+00:00,18.05,18.05,18.05,18.05
2020-12-02 15:00:00+00:00,18.48,18.48,18.48,18.48
2020-12-02 15:10:00+00:00,18.91,18.91,18.91,18.91
2020-12-02 15:20:00+00:00,19.6,19.6,19.6,19.6
2020-12-02 15:30:00+00:00,20.44,20.44,20.44,20.44
2020-12-02 15:40:00+00:00,20.49,20.49,20.49,20.49
2020-12-02 15:50:00+00:00,20.43,20.43,20.43,20.43
2020-12-02 16:00:00+00:00,31.78,31.78,31.78,31.78
2020-12-02 16:10:00+00:00,21.69,21.69,21.69,21.69
2020-12-02 16:20:00+00:00,22.03,22.03,22.03,22.03
2020-12-02 16:30:00+00:00,22.35,22.35,22.35,22.35
