SummaryOpenDTS,PV_NSC_Amb_Amb,PV_NSC_TC_Amb,PV_NSC_TC_ATC,PV_NSC_Amb_ATC
2020-12-01 23:00:00+00:00,-0.18,-0.18,-0.18,-0.18
2020-12-01 23:10:00+00:00,0,0,0,0
2020-12-01 23:20:00+00:00,-0.23,-0.23,-0.23,-0.23
2020-12-01 23:30:00+00:00,-0.03,-0.03,-0.03,-0.03
2020-12-01 23:40:00+00:00,-0.16,-0.16,-0.16,-0.16
2020-12-01 23:50:00+00:00,-0.24,-0.24,-0.24,-0.24
2020-12-02 00:00:00+00:00,-0.15,-0.15,-0.15,-0.15
2020-12-02 00:10:00+00:00,-0.03,-0.03,-0.03,-0.03
2020-12-02 00:20:00+00:00,-0.01,-0.01,-0.01,-0.01
2020-12-02 00:30:00+00:00,-0.21,-0.21,-0.21,-0.21
2020-12-02 00:40:00+00:00,-0.39,-0.39,-0.39,-0.39
2020-12-02 00:50:00+00:00,-0.07,-0.07,-0.07,-0.07
2020-12-02 01:00:00+00:00,-0.04,-0.04,-0.04,-0.04
2020-12-02 01:10:00+00:00,-0.04,-0.04,-0.04,-0.04
2020-12-02 01:20:00+00:00,-0.49,-0.49,-0.49,-0.49
2020-12-02 01:30:00+00:00,-0.28,-0.28,-0.28,-0.28
2020-12-02 01:40:00+00:00,-0.54,-0.54,-0.54,-0.54
2020-12-02 01:50:00+00:00,-0.23,-0.23,-0.23,-0.23
2020-12-02 02:00:00+00:00,-0.28,-0.28,-0.28,-0.28
2020-12-02 02:10:00+00:00,-0.11,-0.11,-0.11,-0.11
2020-12-02 02:20:00+00:00,-0.13,-0.13,-0.13,-0.13
2020-12-02 02:30:00+00:00,-0.16,-0.16,-0.16,-0.16
2020-12-02 02:40:00+00:00,0.05,0.05,0.05,0.05
2020-12-02 02:50:00+00:00,-0.22,-0.22,-0.22,-0.22
2020-12-02 03:00:00+00:00,-0.4,-0.4,-0.4,-0.4
2020-12-02 03:10:00+00:00,-0.25,-0.25,-0.25,-0.25
2020-12-02 03:20:00+00:00,-0.15,-0.15,-0.15,-0.15
2020-12-02 03:30:00+00:00,-0.31,-0.31,-0.31,-0.31
2020-12-02 03:40:00+00:00,-0.18,-0.18,-0.18,-0.18
2020-12-02 03:50:00+00:00,0.23,0.23,0.23,0.23
2020-12-02 04:00:00+00:00,-0.07,-0.07,-0.07,-0.07
2020-12-02 04:10:00+00:00,0.01,0.01,0.01,0.01
2020-12-02 04:20:00+00:00,-0.33,-0.33,-0.33,-0.33
